#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-8358.6,204,109.327824
-4207.5,120,109.506056
-3508.6,107,109.58897
-10158.6,240,109.914466
-8908.6,215,110.161164
-1250.9,55,110.224353
-5306.4,141,110.494688
-6858.6,174,110.700727
-1205.3,58,110.777505
-2855.3,91,110.980785
-4857.5,133,111.196995
-3158.6,100,111.31349
-693.2,37,111.364514
-3105.3,96,113.835984
-953.1,51,113.898408
-894.3,42,113.944549
-2756.4,90,114.04954
-495.4,35,114.084852
-9958.6,236,114.394077
-4107.5,118,114.542934
-2956.4,94,114.700126
-2205.3,78,114.84337
-5658.6,150,115.027306
-2607.5,88,115.155293
-4755.3,129,115.333917
-1753.1,67,115.422485
-3256.4,100,115.599121
-4608.6,129,115.788518
-644.3,37,115.869902
-9308.6,223,116.202785
-5507.5,146,116.350641
-2353.1,79,116.453225
-597.6,39,116.546473
-1854.2,70,116.702765
-3206.4,99,118.877839
-1153.1,55,118.939902
-1605.3,66,119.029188
-5307.5,142,119.183964
-848.7,45,119.23086
-2056.4,76,119.340056
-6158.6,160,119.614643
-1856.4,72,119.706204
-3056.4,96,119.871613
-1404.2,61,119.980079
-1503.1,62,120.068423
-1903.1,70,120.182827
-6908.6,175,120.378653
-496.5,36,120.406799
-2150.9,73,120.535526
-595.4,37,120.62744
-2758.6,92,120.812256
-1453.1,61,120.914959
-3506.4,105,121.099527
-897.6,45,121.190809
-5008.6,137,121.399141
-1004.2,53,121.472846
-1556.4,66,121.541211
-3053.1,93,121.687154
-1148.7,51,121.784764
-1804.2,69,123.956553
-1647.6,60,124.045431
-1655.3,67,124.140935
-4157.5,119,124.258088
-545.4,36,124.293826
-1604.2,65,124.394615
-897.6,45,124.445758
-5908.6,155,124.728054
-348.7,35,124.791304
-7758.6,192,125.011457
-644.3,37,125.041948
-1203.1,56,125.127624
-547.6,38,125.19868
-2404.2,81,125.36027
-3007.5,96,125.531465
-1852.0,68,125.682508
-2353.1,79,125.845721
-4607.5,128,126.015177
-846.5,43,126.057682
-1254.2,58,126.115848
-1954.2,72,126.230069
-793.2,39,126.31745
-2553.1,83,126.427316
-4156.4,118,126.519631
-1102.0,53,126.573918
-1400.9,58,126.713657
-13908.6,315,129.242382
-2402.0,79,129.349633
-4156.4,118,129.487333
-1953.1,71,129.629552
-2854.2,90,129.796706
-1248.7,53,129.880395
-1103.1,54,130.013892
-3658.6,110,130.171243
-4057.5,117,130.396277
-904.2,51,130.494755
-2554.2,84,130.582738
-744.3,39,130.624687
-802.0,47,130.689579
-13808.6,313,131.132338
-596.5,38,131.162654
-1300.9,56,131.238688
-2454.2,82,131.379849
-1602.0,63,131.463741
-694.3,38,131.513186
